iter	Passed	Remaining
0	99	29712
1	115	17273
2	141	14003
3	165	12223
4	190	11220
5	216	10600
6	244	10245
7	290	10592
8	323	10465
9	350	10155
10	377	9924
11	412	9896
12	443	9798
13	472	9647
14	509	9675
15	536	9519
16	569	9476
17	602	9431
18	631	9344
19	666	9335
20	700	9301
21	732	9257
22	762	9177
23	796	9160
24	827	9099
25	856	9030
26	891	9010
27	921	8948
28	953	8905
29	980	8822
30	1013	8797
31	1045	8758
32	1092	8839
33	1129	8837
34	1168	8850
35	1200	8800
36	1229	8739
37	1258	8679
38	1300	8702
39	1335	8682
40	1359	8585
41	1390	8541
42	1427	8530
43	1454	8461
44	1494	8471
45	1532	8463
46	1566	8430
47	1595	8374
48	1624	8320
49	1658	8290
50	1694	8272
51	1736	8280
52	1779	8292
53	1806	8231
54	1838	8188
55	1871	8153
56	1902	8112
57	1934	8070
58	1967	8036
59	1997	7989
60	2029	7951
61	2070	7946
62	2100	7901
63	2129	7851
64	2162	7819
65	2197	7790
66	2233	7765
67	2264	7725
68	2295	7683
69	2325	7641
70	2360	7612
71	2391	7572
72	2425	7542
73	2461	7518
74	2498	7495
75	2533	7468
76	2562	7420
77	2592	7378
78	2627	7349
79	2657	7307
80	2687	7265
81	2721	7235
82	2756	7205
83	2787	7167
84	2817	7127
85	2848	7087
86	2874	7036
87	2910	7012
88	2936	6962
89	2980	6954
90	3011	6916
91	3037	6867
92	3080	6857
93	3115	6827
94	3151	6800
95	3207	6815
96	3256	6815
97	3306	6814
98	3343	6787
99	3379	6758
100	3413	6725
101	3452	6701
102	3485	6666
103	3515	6625
104	3544	6583
105	3578	6548
106	3609	6510
107	3642	6475
108	3675	6439
109	3707	6403
110	3757	6397
111	3801	6381
112	3842	6359
113	3868	6312
114	3892	6261
115	3934	6241
116	3981	6227
117	4023	6205
118	4074	6196
119	4101	6152
120	4138	6122
121	4190	6114
122	4219	6071
123	4249	6031
124	4307	6031
125	4332	5982
126	4356	5934
127	4387	5895
128	4421	5860
129	4454	5825
130	4491	5794
131	4525	5759
132	4553	5717
133	4583	5677
134	4613	5638
135	4646	5602
136	4675	5562
137	4708	5527
138	4740	5490
139	4771	5453
140	4803	5416
141	4833	5378
142	4863	5339
143	4896	5304
144	4937	5278
145	4963	5235
146	4992	5196
147	5022	5158
148	5068	5136
149	5097	5097
150	5129	5061
151	5161	5025
152	5191	4988
153	5222	4951
154	5256	4917
155	5287	4880
156	5319	4845
157	5349	4808
158	5388	4778
159	5418	4741
160	5449	4705
161	5482	4670
162	5515	4635
163	5545	4598
164	5572	4558
165	5601	4521
166	5635	4487
167	5668	4454
168	5697	4416
169	5729	4381
170	5761	4346
171	5792	4310
172	5821	4273
173	5848	4235
174	5880	4200
175	5918	4169
176	5945	4131
177	5978	4097
178	6013	4064
179	6047	4031
180	6078	3996
181	6112	3963
182	6141	3926
183	6172	3891
184	6200	3854
185	6237	3822
186	6271	3789
187	6302	3754
188	6337	3721
189	6369	3687
190	6400	3652
191	6428	3615
192	6458	3580
193	6488	3545
194	6524	3513
195	6558	3479
196	6587	3444
197	6620	3410
198	6651	3376
199	6679	3339
200	6713	3306
201	6741	3270
202	6776	3238
203	6805	3202
204	6835	3167
205	6872	3136
206	6904	3102
207	6934	3067
208	6966	3033
209	7005	3002
210	7046	2972
211	7078	2938
212	7109	2904
213	7140	2869
214	7171	2835
215	7204	2801
216	7237	2768
217	7264	2732
218	7295	2698
219	7329	2665
220	7364	2632
221	7391	2596
222	7422	2562
223	7457	2530
224	7489	2496
225	7521	2462
226	7550	2428
227	7578	2393
228	7608	2358
229	7642	2326
230	7671	2291
231	7705	2258
232	7736	2224
233	7768	2191
234	7800	2157
235	7834	2124
236	7863	2090
237	7895	2056
238	7928	2023
239	7963	1990
240	7995	1957
241	8025	1923
242	8054	1889
243	8083	1855
244	8113	1821
245	8145	1788
246	8177	1754
247	8212	1721
248	8241	1688
249	8273	1654
250	8301	1620
251	8333	1587
252	8361	1553
253	8393	1520
254	8424	1486
255	8455	1453
256	8486	1419
257	8518	1386
258	8545	1352
259	8573	1319
260	8604	1285
261	8642	1253
262	8672	1220
263	8704	1186
264	8742	1154
265	8776	1121
266	8805	1088
267	8837	1055
268	8872	1022
269	8902	989
270	8932	955
271	8976	924
272	9015	891
273	9037	857
274	9061	823
275	9089	790
276	9122	757
277	9150	724
278	9179	690
279	9212	658
280	9241	624
281	9270	591
282	9297	558
283	9332	525
284	9364	492
285	9394	459
286	9428	427
287	9457	394
288	9485	361
289	9511	327
290	9542	295
291	9574	262
292	9601	229
293	9640	196
294	9667	163
295	9696	131
296	9733	98
297	9779	65
298	9825	32
299	9856	0
